conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1764529614993707432,Mon Mar 04 05:57:08 +0000 2024,0, bjir itu kek pom shell di gw ,1764530494996398447,,splacten,in,,0,0,0,https://x.com/undefined/status/1764530494996398447,798489606173822976,
1764474027127791886,Mon Mar 04 02:33:33 +0000 2024,0,@chanshiie Cari di pom bensin Shell (?) atau jastip...,1764479264265814026,,sunsainzz,in,,0,1,0,https://x.com/undefined/status/1764479264265814026,1421782444231991301,
1764462153757499835,Mon Mar 04 02:23:10 +0000 2024,0,@sbyfess pom bensin tapi shell dan bp,1764476651159929303,,sbyfess,in,,0,0,0,https://x.com/undefined/status/1764476651159929303,1103428811297681408,
1764462153757499835,Mon Mar 04 01:26:27 +0000 2024,0,@sbyfess pom shell ws wangi ruesikkkk tp nyamanann mg omhku dw se,1764462377872064803,,sbyfess,in,,0,0,0,https://x.com/undefined/status/1764462377872064803,1397533491235938306,
1763742449586045252,Sat Mar 02 01:53:59 +0000 2024,1,@pinkawiz_art Kalo suka ngisi di pom bensin shell Kopi di pom bensin shell juga enak ka. murah pula hahaha,1763744531504394514,,pinkawiz_art,in,,0,1,0,https://x.com/undefined/status/1763744531504394514,1355875169592602624,
1752894563185025257,Fri Mar 01 23:28:18 +0000 2024,0,@mc_yjhan Hallo min udah ketemu belum kucing nya? Kalau belum sekitar 2-3 minggu lalu aku liat kucing begini pakai kalung juga di pom bensin shell UPJ,1763707869348958241,,macsc_yjhan,in,,0,0,0,https://x.com/undefined/status/1763707869348958241,1669867592524394497,
1763249782133531071,Fri Mar 01 06:34:30 +0000 2024,2,@Altrezyi @Gandhoyyy Emg shell dan pom swasta lain kek gini bang tiap ganti bulan revisi harga tp gaboleh lbh murah dr pom plat merah.,1763452736169996430,,Altrezyi,in,,0,0,1,https://x.com/undefined/status/1763452736169996430,1604168727779368960,
1763386718944985516,Fri Mar 01 04:51:14 +0000 2024,1,@kompascom ... hahaha tambah kacau Konoha diperintah penerus politik dinasti kalau begitu Pom Bensin Luar spt BP Shell dsb akan diusir donk? Bakal rusak tuh mbl mewah,1763426748199289174,,kompascom,in,,0,0,0,https://x.com/undefined/status/1763426748199289174,1690387541089030144,
1763421165702566067,Fri Mar 01 04:29:03 +0000 2024,0,ganti oli di pom bensin shell bisa ga si?,1763421165702566067,,,in,,0,5,0,https://x.com/undefined/status/1763421165702566067,2584923842,
1763040593750708578,Thu Feb 29 05:10:40 +0000 2024,1,@stephaniezen mie: - mie bakar celaket (kalau suka pasta you will love it si ci! rame tempatnya better take away/gojek aja) - hot cwi mie (yg mangkoknya bisa dimakan) pecel (tempat makannya kecil): - pecel winongo - pecel depan pom bensin shell kawi,1763069251727040611,,brnndt12_,in,,0,1,0,https://x.com/undefined/status/1763069251727040611,66089503,
1762119941803962840,Mon Feb 26 14:23:53 +0000 2024,0,@Rivqialviannur sami uy hoyong gaduh pom bensin shell 1,1762121309641990527,,Rivqialviannur,in,,0,2,0,https://x.com/undefined/status/1762121309641990527,2396117768,
1760875261158150527,Fri Feb 23 17:27:44 +0000 2024,0,@adriansyahyasin Gua pernah mau isi bensin di pom shell. Mau ngabisin saldo spay. Kata beliau gak bisa karena EDC'a gak ada Pake EDC lain kan bisa pak tinggal kasih barcode aja Iyah EDC spay kita gak ada ada'a ovo/gopay Trus gak bisa pak ? Iyah maaf ya Gituuu masaaa.,1761080415417446710,,adriansyahyasin,in,,0,0,0,https://x.com/undefined/status/1761080415417446710,316882159,
1761020961808388409,Fri Feb 23 14:48:14 +0000 2024,0,@ladyofneptune__ iyaa sempet make shell emg tp mostly pom nya jauh semua makanya ke pertamina lagi wkwk,1761040275705835956,,ladyofneptune__,in,,0,0,0,https://x.com/undefined/status/1761040275705835956,1302939463471960064,
1760978507398844806,Fri Feb 23 11:15:26 +0000 2024,1,@Bungfranks Done..ini musholah pom bensin shell helix. Karna macet. Jadi melipir ke Shell dulu sholli,1760986722022969752,,Bungfranks,in,,0,1,0,https://x.com/undefined/status/1760986722022969752,970736194903420933,
1760685888080871914,Thu Feb 22 15:20:02 +0000 2024,5,1. Pernah pingsan ketiban palang pintu otomatis parkiran 2. Dulu sma ditelanjangin plokis krn diduga mapping narkobs di POM SHELL PADJAJARAN 3. Skripsian bimbingan 4x dari 16 meeting 4. Pernah ikut summer school di jis tiap libur sekolah ,1760685888080871914,,,in,,0,3,0,https://x.com/undefined/status/1760685888080871914,1201091948292923392,
1760632122505900517,Thu Feb 22 11:47:58 +0000 2024,0,Jadi tadi balik kerja gua isi bensin di Shell rawa buaya terus abis selesai isi bensin gua minggir dulu di halte deket pintu keluar Shell (sebelum flyover Cengkareng) buat nelpon ibu karena pas otw pom bensin tadi ibu nelpon cuma gak kejawab,1760632522533396933,,moiaro__,in,,0,1,0,https://x.com/undefined/status/1760632522533396933,766803631706255360,
1760528772338749510,Thu Feb 22 04:55:43 +0000 2024,0,positive thinking. mungkin isi 50rb di pert*mina buat ganjel sampe ketemu pom bensin Shell atau BP ,1760528772338749510,,,in,,0,1,0,https://x.com/undefined/status/1760528772338749510,275883853,
1760511529500418160,Thu Feb 22 03:47:12 +0000 2024,0,Aku masih kalo udah kedip-kedip banget trs pengennya isi di Shell ato BP tp paling deket pom bensin bumn ya isi dulu mapuluh rebu ~,1760511529500418160,,,in,,0,0,0,https://x.com/undefined/status/1760511529500418160,83584287,
1760143796023800100,Wed Feb 21 03:40:12 +0000 2024,0,@mutiahahah Jatiasih sih lebi tepatnya kwkwkw karena pom bensin shell yg ada V Power Nitro cuma disitu yg deket,1760147381331566776,,mutiahahah,in,,0,0,0,https://x.com/undefined/status/1760147381331566776,304883584,
1759758186071093433,Tue Feb 20 14:47:25 +0000 2024,0,@FelixSGL1 @BangWin04 RON95 di MY itu subsidi ya. Makanya mobil plat asing (i.e SG ato TH) yg ke MY ga boleh harusnya isi RON95 wajib 97 yg non subsidi. Semua pom harga rata sama (shell caltex petron bhp) ga ky di Indo cm Pertamina.,1759952906084827242,,FelixSGL1,in,,0,0,0,https://x.com/undefined/status/1759952906084827242,1143784221695066112,
1759851924944560345,Tue Feb 20 12:42:20 +0000 2024,0,@kangsodiq_ atuh di dorong ka POM? maenya kedah puputeran siga mandalika di pom Shell,1759921425505558776,,,in,,0,0,0,https://x.com/undefined/status/1759921425505558776,1088680893961519104,
1759546109935100282,Mon Feb 19 15:44:04 +0000 2024,0,@SmgMenfess2 anjjj sama pom shell jg nggak ada parah bgt seh ini ,1759604772385292794,,personality404_,in,,0,0,0,https://x.com/undefined/status/1759604772385292794,1007667023357198336,
1759057776582766679,Mon Feb 19 03:03:13 +0000 2024,0,@NdrewsTjan @Shell Daerahku .daerah tambang boss.. Sultra..orang ngantri di pom SPBU utk sekedar mendapatkan pertalite..yg Pertamax maju lancar..saya pake Pertamax hanya Krn malas antri saja ,1759413297470951485,,Ndrewstjan,in,,0,0,0,https://x.com/undefined/status/1759413297470951485,1464237146936590337,
1757334193695289753,Tue Feb 13 12:18:19 +0000 2024,1,@eunickfebb @infomalang pom bandung pom tlogomas bp dan shell,1757378666387120324,,eunickfebb,in,,0,1,0,https://x.com/undefined/status/1757378666387120324,299701915,
1756112058641523029,Sat Feb 10 15:16:12 +0000 2024,0,@m2ridical di Bogor ada yang 20-30rb masih enak. Ke kopi pom bensin aja di Shell udah termasuk enak dan murah,1756336271147037180,,m2ridical,in,,0,0,0,https://x.com/undefined/status/1756336271147037180,1629458098233679879,
1755597439086821527,Fri Feb 09 14:43:10 +0000 2024,0,@briankhrisna Lantas karena saya tidak boleh memakai ponsel di pom. Bukannya boleh ya? Namun ada batasan tertentu. Contohnya di shell bisa melakukan pembayaran dari ponsel,1755965567079731246,,briankhrisna,in,,0,0,0,https://x.com/undefined/status/1755965567079731246,831247500,
1755597439086821527,Fri Feb 09 08:52:00 +0000 2024,0,@briankhrisna Kalau liat pom bensin Pertamina antre parah gini kalau gw mending ke Shell dah,1755877194952593515,,briankhrisna,in,,0,0,0,https://x.com/undefined/status/1755877194952593515,1167169741871439873,
1755597439086821527,Fri Feb 09 02:55:03 +0000 2024,0,@briankhrisna Bang coba ganti isi di shell atau pom bensin swasta lain.,1755787366156169303,,briankhrisna,in,,0,0,0,https://x.com/undefined/status/1755787366156169303,73371276,
1755597439086821527,Fri Feb 09 02:18:02 +0000 2024,0,@tomahawkriders @briankhrisna Pom bensin kuning kemaren ada yang ngulas ngisi sama (nominal rupiah) antara pertalite dan jenis shell super ron 92 tapi jarak tempuh lebih jauh.,1755778049877094593,,tomahawkriders,in,,0,1,0,https://x.com/undefined/status/1755778049877094593,433230691,
1755455714968150155,Thu Feb 08 04:57:11 +0000 2024,13,Tau nggak minimarket/supermarket yang makanannya paling oke? For me it's not Indomaret Point Lawson Famima it's actually SHELL! Pom bensin Shell yes. Pastrynya paling oke kopinya juga kalo nasi Yummy Choice Indomaret masih unggul tapi overall productnya good quality! https://t.co/gYe9THPiUg,1755455714968150155,https://pbs.twimg.com/media/GFygQmXbkAA-iCS.png,,in,,5,3,6,https://x.com/undefined/status/1755455714968150155,44592231,
1679874547481444352,Wed Feb 07 06:41:31 +0000 2024,0,mama jalan ke mana? ke sel hah kok ke sel? ke pom bensin sel ohh shell ,1755119579817468046,,ihlucubanget,in,,0,1,0,https://x.com/undefined/status/1755119579817468046,1138732130215710720,
1755104752462184860,Wed Feb 07 06:08:34 +0000 2024,0,@heezinjeon pom bensin yang agak gedean biasanya bagus WCnya ato Shell,1755111291403071641,,heezinjeon,in,,0,1,0,https://x.com/undefined/status/1755111291403071641,1079301398150373376,
1754128507918299313,Mon Feb 05 07:47:22 +0000 2024,0,@f1speed_indo gak sabar deh dia nampang di pom bensin shell wkwk,1754411379753431471,,f1speed_indo,in,,0,0,0,https://x.com/undefined/status/1754411379753431471,272926415,
1754320169940488527,Mon Feb 05 01:44:56 +0000 2024,1,Jokowi - Ahok Tahun 2012 : Amplop sama perangko Tahun 2024 : Pom bensin Pertamina sama Shell ‍️ #justsaying,1754320169940488527,,,in,,0,2,0,https://x.com/undefined/status/1754320169940488527,68988852,
1754306332809932847,Mon Feb 05 00:49:57 +0000 2024,0,tbs senin pagi 07.50 depan pom shell ga macet samsek. ini orang orang pada gamau gue telat apa gmn,1754306332809932847,,,in,,0,0,1,https://x.com/undefined/status/1754306332809932847,540667592,
1753806559615066208,Sat Feb 03 18:55:21 +0000 2024,2,@txtdrjkt Ketika dapat penumpang ke arah Pancoran atau pasmingg lebih baik gue lewat Patra dah.gatsu dari menara surveyor Ampe pom Shell ampun dah.digatsu macet pol Patra solusinya.,1753854704755585191,,txtdrjkt,in,,0,0,0,https://x.com/undefined/status/1753854704755585191,1620758608383471620,
1753304321486418413,Fri Feb 02 06:28:19 +0000 2024,2,ga sabar ngeliat sobat kambing dari suit kang bus mercy ke suit pegawai pom shell https://t.co/lbVfc0YE8G,1753304321486418413,https://pbs.twimg.com/media/GFT8_NgaMAAufgc.jpg,,in,,0,0,0,https://x.com/undefined/status/1753304321486418413,1352090797,
1753264317015961715,Fri Feb 02 04:00:42 +0000 2024,0,@ub_mfs Pertashop di jl bunga merak + pom swasta bp/shell (lupa qris bisa gak tp yg pasti bisa debit),1753267169654448413,,ub_mfs,in,,0,0,0,https://x.com/undefined/status/1753267169654448413,2203202167,
1752990588109255131,Thu Feb 01 09:45:57 +0000 2024,4,@sbyfess oli mesin 50-70rb oli gardan 15-20rb ganti sepaket di pom shell atau planetban ga sampe 100rb kok gratis ongkos pasang cmiiw,1752991669195309227,,sbyfess,in,,0,0,0,https://x.com/undefined/status/1752991669195309227,1326108954762469376,
1748884025979359353,Sun Jan 21 01:43:39 +0000 2024,0,disini belom ada pom shell ,1748884025979359353,,,in,,0,0,0,https://x.com/undefined/status/1748884025979359353,1459541672736346116,
1748678063599083645,Sun Jan 21 01:06:04 +0000 2024,0,@dnlwkrt Emang enakan shell! Sayang ke pom terdekat harus bgt ke cileunyi dan cukup jauh ,1748874570596253922,,dnlwkrt,in,,0,0,0,https://x.com/undefined/status/1748874570596253922,118046701,
1748678063599083645,Sat Jan 20 22:00:09 +0000 2024,0,@dnlwkrt Pernah denger kata orang oktan itu ga begitu pengaruh yg paling pengaruh itu kejernihan (kemurnian) dari si bahan bakar itu sendiri bang. Bahan bakar dr prtam*n* diragukan proses filterisasinya. Mungkin yg punya shell itu jauh lebih bersih dibanding pom pnya BUM*.,1748827783785238579,,dnlwkrt,in,,0,1,0,https://x.com/undefined/status/1748827783785238579,1714442406,
1748678063599083645,Sat Jan 20 20:55:39 +0000 2024,0,@dnlwkrt Sayangnya pom shell blm merata di indo. Di semarang blm ada,1748811551598153869,,dnlwkrt,in,,0,0,0,https://x.com/undefined/status/1748811551598153869,2160276022,
1748767172388884846,Sat Jan 20 17:59:19 +0000 2024,0,gue juga kalo misal di pwk ada shell bp vivo pengen nya ngisi ke mereka dah. walaupun di rest area gue ada pom bp gak boleh bawa jerry can katanya peraturan dari bp nya gitu. harganya lebih mahal emang bp90(setara pertalite) harganya lebih mahal dibanding pertamax92 ;(,1748767172388884846,,,in,,0,0,0,https://x.com/undefined/status/1748767172388884846,900254664146337792,
1748731450026021266,Sat Jan 20 17:08:24 +0000 2024,0,@nandanasdws Cost dan bensin soalnya seminggu sekali kan ngisi tuh kalo udah tinggal 3 bar pas di pertam4x bisa sampe 45-50rb sedangkan di shell super cuma kisaran 40-43rb. Kayanya sih takarannya ga akurat tu pom merah. Padahal harga per liter mahal kuning wkwk,1748754359087726625,,nandanasdws,in,,0,0,0,https://x.com/undefined/status/1748754359087726625,205630570,
1748743051433103428,Sat Jan 20 16:23:28 +0000 2024,0,Yauda nanti ak langganan shell sama pom bensin ijo di blimbing itu apa,1748743051433103428,,,in,,0,1,0,https://x.com/undefined/status/1748743051433103428,1669956651133313024,
1748723928229618113,Sat Jan 20 15:07:28 +0000 2024,0,Aku juga punya pengalaman: Ngisi 25ribu Pertalite dan dibandingkan dengan ngisi 20ribu Pertamax waktu habisnya lebih panjang Pertamax. Andai aja di kotaku ada POM Shell.,1748723928229618113,,,in,,0,0,0,https://x.com/undefined/status/1748723928229618113,97234890,
1748678063599083645,Sat Jan 20 15:00:02 +0000 2024,2,@threadshopee @dnlwkrt Pertalite itu Ron 92. Cuma di rebrand Ron 90 karena sejatinya pertalit itu Pertamax yg belum dikasih adictive pembersihan ruang bakar. Kalo kenapa sama Shell lebih jauh Shell. Simpel cui ukuran banyak pom nakal. Lu isi di SPBU Pertamina satu dan lain aja bisa beda kok ,1748722054009073995,,threadshopee,in,,0,0,0,https://x.com/undefined/status/1748722054009073995,1182454511534653440,
1748719485115359650,Sat Jan 20 14:49:49 +0000 2024,0,Sayangnya ngk semua daerah ada pom bensin yg ada shell,1748719485115359650,,,in,,0,0,0,https://x.com/undefined/status/1748719485115359650,1247996978421620737,
1748715681053348308,Sat Jan 20 14:40:27 +0000 2024,0,Sebenernya males pake shell adalah krn pom nya jauh dr rumah dan gak sejalan pas pergi pulang kerjaa huhu,1748717128948285629,,senezushi,in,,0,0,0,https://x.com/undefined/status/1748717128948285629,1095935789320495104,
1748678063599083645,Sat Jan 20 14:36:09 +0000 2024,0,@dnlwkrt Pas dikalibrasi tanki pom nya juga error nya Shell mah bner2 harus 0% bang beda sama sebelah yg error nya dibolehin sampe sekian persen cmiiw,1748716045945438296,,dnlwkrt,in,,0,0,0,https://x.com/undefined/status/1748716045945438296,1434382980219215874,
1748711473055248590,Sat Jan 20 14:17:59 +0000 2024,5,Jika di sekitar lingkungan rumah/tempat kerja ada pom brand luar itu justru patut disyukuri(apalagi kalau shell). Biar masyarakat sedikit paham bensin bersih daripada terjebak dengan angka RON.,1748711473055248590,,,in,,0,0,3,https://x.com/undefined/status/1748711473055248590,1266315411441643521,
1748678063599083645,Sat Jan 20 14:15:59 +0000 2024,0,@dnlwkrt Itu yg pom pertamina pake gigi berapa? N shell brp?,1748710969830949195,,dnlwkrt,in,,0,0,0,https://x.com/undefined/status/1748710969830949195,2989376299,
1747971367121920224,Thu Jan 18 15:02:28 +0000 2024,0,@f1fess Pom Shell klo ada event diecastnya lg. Ni gua ada f1-75 buatan burago x shell. Mestinya si di marketplace ada yg jual yak tp entahlah. Atauu samper aje mas mas shell di pom. Kmrn sempet ditawarin sepaket idi 4 harganya 300rebuan,1747997891980095778,,f1fess,in,,0,0,0,https://x.com/undefined/status/1747997891980095778,1139183028645662720,
1747522174947385362,Wed Jan 17 07:32:08 +0000 2024,0,pom bensin shell pandegiling ini,1747522174947385362,,,in,,0,0,0,https://x.com/undefined/status/1747522174947385362,1278269892882337792,
1747446899081363609,Wed Jan 17 02:33:01 +0000 2024,0,Mas mas bengkel yg di pom shell pasko manis bgt si ,1747446899081363609,,,in,,0,0,0,https://x.com/undefined/status/1747446899081363609,2175780594,
1747153582510719325,Tue Jan 16 07:07:31 +0000 2024,0,Akhir kata dr tmn gw yg teknik kimia ini benefit 2 pom swasta yg ga ad di plat merah: - shell: additifnya paling bagus buat mesin - BP: pembakaran paling sempurna,1747153593747300546,,G_P_D_1984,in,,0,0,1,https://x.com/undefined/status/1747153593747300546,80365216,
1747062726873284863,Tue Jan 16 01:06:27 +0000 2024,0,Pengen cuba juga bensin shell tapi rute kerja ga liwat pom nya.,1747062726873284863,,,in,,0,0,0,https://x.com/undefined/status/1747062726873284863,291689158,
